Target,Model,Best_CV_Spearman,N_Trials
target_217,ElasticNet,-0.011643014117246636,10
target_217,XGBoost,0.0,10
target_217,LightGBM,0.041740047749869315,10
target_218,ElasticNet,0.09186684411205492,10
target_218,XGBoost,0.0,10
target_218,LightGBM,0.06928628564520817,10
target_219,ElasticNet,0.04409104665588126,10
target_219,XGBoost,0.14787598864558343,10
target_219,LightGBM,0.1152264549366379,10
target_220,ElasticNet,0.08515568451121619,10
target_220,XGBoost,0.0843456430941986,10
target_220,LightGBM,0.06718313473411068,10
target_221,ElasticNet,0.18506320583471916,10
target_221,XGBoost,0.04946074740867449,10
target_221,LightGBM,0.010037725342450288,10
target_222,ElasticNet,0.034299167316743207,10
target_222,XGBoost,0.023638901959471288,10
target_222,LightGBM,-0.010790271628059981,10
target_223,ElasticNet,0.0446212290732696,10
target_223,XGBoost,0.0,10
target_223,LightGBM,-0.004895073450187183,10
target_224,ElasticNet,0.14003043797576212,10
target_224,XGBoost,0.0762564394600897,10
target_224,LightGBM,0.10404475237493373,10
target_225,ElasticNet,0.0,10
target_225,XGBoost,0.0,10
target_225,LightGBM,0.07496862814397404,10
target_226,ElasticNet,0.07426705091373677,10
target_226,XGBoost,0.0,10
target_226,LightGBM,0.086752230787434,10
target_227,ElasticNet,0.1657079830005547,10
target_227,XGBoost,0.034689368388653316,10
target_227,LightGBM,0.02232013838812116,10
target_228,ElasticNet,0.04423790992900322,10
target_228,XGBoost,0.0,10
target_228,LightGBM,0.09887764909022788,10
target_229,ElasticNet,0.033006341784187286,10
target_229,XGBoost,0.0,10
target_229,LightGBM,-0.021741496629198206,10
target_230,ElasticNet,0.059104661128153047,10
target_230,XGBoost,0.04231852726060024,10
target_230,LightGBM,0.043533185108321104,10
target_231,ElasticNet,0.16650066419853202,10
target_232,ElasticNet,0.0,10
target_232,XGBoost,0.0,10
target_232,LightGBM,0.0652084872428872,10
target_233,ElasticNet,0.07256030993896337,10
target_233,XGBoost,0.0,10
target_233,LightGBM,0.05378120089030566,10
target_234,ElasticNet,0.07091352728201777,10
target_234,XGBoost,0.0,10
target_234,LightGBM,0.10822495132586356,10
target_235,ElasticNet,0.09091338926560771,10
target_235,XGBoost,0.06681065579885305,10
